N,serial,parallel4,parallel2
1000000,0.0433487,0.0412662,0.0778281
1000000,0.0375951,0.062379,0.0811985
1000000,0.0453204,0.0291612,0.0238186
1000000,0.0438194,0.075439,0.0805087
1000000,0.0233242,0.0313121,0.0791029
3162200,0.0412226,0.0947401,0.0738793
3162200,0.0444925,0.0861693,0.0931625
3162200,0.0402743,0.0828325,0.0725192
3162200,0.0526069,0.0879997,0.103559
3162200,0.0398261,0.0812777,0.0716082
316200,0.0269461,0.0488141,0.0246824
316200,0.0141673,0.0604517,0.0378934
316200,0.0607407,0.0560343,0.0249682
316200,0.0130889,0.0368929,0.0398373
316200,0.065628,0.0159813,0.023539
100000,0.00377821,0.013101,0.008973
100000,0.00383341,0.00826655,0.0156664
100000,0.0101322,0.0293846,0.00868343
100000,0.00396323,0.0199873,0.00847285
100000,0.00485052,0.0120205,0.0106339
31620,0.00115018,0.0148428,0.00336009
31620,0.00209608,0.00232161,0.00292381
31620,0.00136868,0.00623871,0.00262316
31620,0.00114179,0.00253721,0.0033802
31620,0.00128629,0.00615151,0.0047711
10000,0.000359361,0.00143569,0.000669985
10000,0.000399917,0.0053113,0.00113936
10000,0.000365289,0.00907807,0.0022431
10000,0.000372504,0.005866,0.00349396
10000,0.000362181,0.000762458,0.00104169
3164,0.000110958,0.0191752,0.000443954
3164,9.71E-05,0.0160482,0.000342521
3164,0.000116599,0.0004197,0.000290688
3164,0.00010272,0.00563047,0.000391186
3164,0.000106718,0.00657538,0.000572418
1000,2.64E-05,0.00997593,0.000171519
1000,2.67E-05,0.00136913,0.000222662
1000,2.72E-05,0.0107805,0.000153429
1000,2.72E-05,0.0156071,0.000174658
1000,2.91E-05,0.000269853,0.000227446
316,6.52E-06,0.000174499,9.75E-05
316,5.16E-06,0.0002058,6.15E-05
316,6.03E-06,0.0060402,0.000134205
316,6.36E-06,0.000154194,7.77E-05
316,6.75E-06,0.000211564,8.22E-05
100,2.24E-06,0.000204593,5.41E-05
100,2.16E-06,0.000126901,8.32E-05
100,2.21E-06,0.000146844,0.000115391
100,2.39E-06,0.000889362,4.91E-05
100,2.41E-06,0.000144115,0.000108011
10000000,0.0862324,0.235446,0.194525
10000000,0.0853502,0.231929,0.217066
10000000,0.0847994,0.252506,0.219024
10000000,0.0856106,0.229493,0.218279
10000000,0.0874253,0.236893,0.221806
