N,serial,parallel4,parallel2
1000000,3.87E+07,1.58E+07,2.02E+07
1000000,3.85E+07,1.69E+07,2.06E+07
1000000,3.60E+07,7.84E+06,2.00E+07
1000000,3.85E+07,1.56E+07,1.98E+07
1000000,3.86E+07,1.58E+07,1.71E+07
3162200,4.29E+07,1.59E+07,2.00E+07
3162200,4.31E+07,1.59E+07,2.00E+07
3162200,4.10E+07,1.60E+07,2.00E+07
3162200,4.38E+07,1.58E+07,2.08E+07
3162200,4.42E+07,1.62E+07,2.75E+07
316200,1.33E+07,7.01E+06,6.86E+06
316200,1.33E+07,7.28E+06,6.56E+06
316200,1.21E+07,5.40E+06,7.23E+06
316200,1.19E+07,5.45E+06,6.65E+06
316200,1.20E+07,5.37E+06,6.69E+06
100000,3.90E+06,2.41E+06,2.37E+06
100000,4.04E+06,2.04E+06,2.31E+06
100000,3.78E+06,2.33E+06,2.57E+06
100000,3.78E+06,2.33E+06,2.44E+06
100000,3.90E+06,2.07E+06,2.30E+06
31620,1.26E+06,1.68E+06,1.59E+06
31620,1.18E+06,2.22E+06,2.05E+06
31620,1.59E+06,2.54E+06,1.01E+06
31620,1.54E+06,1.66E+07,1.80E+06
31620,1.56E+06,2.42E+06,1.89E+06
10000,385910,3.86E+06,566796
10000,484647,3.35E+06,632054
10000,530931,4.64E+06,586047
10000,360724,3.83E+06,569058
10000,361448,4.19E+06,515923
3164,103833,4.71E+06,140083
3164,151683,1.52E+07,519206
3164,160930,3.73E+06,384558
3164,151987,3.26E+06,407185
3164,120897,5.87E+06,344797
1000,29961,4.62E+06,331986
1000,33743,4.27E+06,361278
1000,49980,4.65E+06,302175
1000,75368,4.15E+06,326974
1000,34198,5.05E+06,362064
316,10228,3.80E+06,253789
316,7421,1.21E+07,292705
316,12311,4.21E+06,258599
316,11159,4.66E+06,317261
316,11544,3.34E+06,381162
100,4688,1.11E+07,391233
100,2778,1.38E+07,250187
100,4042,3.83E+06,379368
100,2723,1.35E+07,265298
100,2962,4.91E+06,351242
10000000,9.94E+07,4.16E+07,6.25E+07
10000000,1.21E+08,4.80E+07,7.34E+07
10000000,1.14E+08,4.88E+07,6.28E+07
10000000,1.23E+08,7.38E+07,6.20E+07
10000000,1.25E+08,4.92E+07,6.28E+07
